

    Component Locations                                         11-28-07.PCB

                           EPIC CORE 03-28-2007  REV.A

    Ref Designator    Pattern           Location
    ========================================================================
    U2H               MLF-64,TI         06725 11130
    U3                MLF-8M1-A,ATMEL   04750 08680
    U3A               MLF-8M1-A,ATMEL   05950 08680
    U3B               MLF-8M1-A,ATMEL   07150 08680
    U3C               MLF-8M1-A,ATMEL   07150 09880
    U3D               MLF-8M1-A,ATMEL   05950 09880
    U3E               MLF-8M1-A,ATMEL   04750 09880
    U3F               MLF-8M1-A,ATMEL   04750 11080
    U3G               MLF-8M1-A,ATMEL   05950 11080
    U3H               MLF-8M1-A,ATMEL   07150 11080
    U4                SOT23-CENTER      04760 08940
    U4A               SOT23-CENTER      05960 08940
    U4B               SOT23-CENTER      07160 08940
    U4C               SOT23-CENTER      07160 10140
    U4D               SOT23-CENTER      05960 10140
    U4E               SOT23-CENTER      04760 10140
    U4F               SOT23-CENTER      04760 11340
    U4G               SOT23-CENTER      05960 11340
    U4H               SOT23-CENTER      07160 11340
    U6A               PLCC68-A          04025 09350
    U6AA              PLCC68-A          05225 09350
    U6AB              PLCC68-A          06425 09350

                                  U.C. BERKELEY

    20-Nov-07  20:46                                                 Page 10

    Component Locations                                         11-28-07.PCB

                           EPIC CORE 03-28-2007  REV.A

    Ref Designator    Pattern           Location
    ========================================================================

    U6AC              PLCC68-A          06425 10550
    U6AD              PLCC68-A          05225 10550
    U6AE              PLCC68-A          04025 10550
    U6AF              PLCC68-A          04025 11750
    U6AG              PLCC68-A          05225 11750
    U6AH              PLCC68-A          06425 11750
    U6B               PLCC68-B          04100 08475
    U6BA              PLCC68-B          05300 08475
    U6BB              PLCC68-B          06500 08475
    U6BC              PLCC68-B          06500 09675
    U6BD              PLCC68-B          05300 09675
    U6BE              PLCC68-B          04100 09675
    U6BF              PLCC68-B          04100 10875
    U6BG              PLCC68-B          05300 10875
    U6BH              PLCC68-B          06500 10875
    U6C               PLCC68-C          04975 08550
    U6CA              PLCC68-C          06175 08550
    U6CB              PLCC68-C          07375 08550
    U6CC              PLCC68-C          07375 09750
    U6CD              PLCC68-C          06175 09750
    U6CE              PLCC68-C          04975 09750
    U6CF              PLCC68-C          04975 10950
    U6CG              PLCC68-C          06175 10950
    U6CH              PLCC68-C          07375 10950
    U6D               PLCC68-D          04900 09425
    U6DA              PLCC68-D          06100 09425
    U6DB              PLCC68-D          07300 09425
    U6DC              PLCC68-D          07300 10625
    U6DD              PLCC68-D          06100 10625
    U6DE              PLCC68-D          04900 10625
    U6DF              PLCC68-D          04900 11825
    U6DG              PLCC68-D          06100 11825
    U6DH              PLCC68-D          07300 11825
    Y1                XTAL,C5           04190 09165
    Y1A               XTAL,C5           05390 09165
    Y1B               XTAL,C5           06590 09165
    Y1C               XTAL,C5           06590 10365
    Y1D               XTAL,C5           05390 10365
